,id,kind,Name,Source,MetadataVersion,AttributeMap.FieldName,AttributeMap.AttributeType,AttributeMap.Coverage,AttributeMap.DifferenceType,AttributeMap.MapType,AttributeMap.Name,AttributeMap.SeismicDifference,AttributeMap.SeismicTraceContent,CalculationWindow.WindowMode,CalculationWindow.TopHorizonName,CalculationWindow.BaseHorizonName,CalculationWindow.TopHorizonOffset,CalculationWindow.BaseHorizonOffset,CalculationWindow.HorizonName,CalculationWindow.HorizonOffsetShallow,CalculationWindow.HorizonOffsetDeep,SeismicProcessingTraces.SeismicVolumeA,SeismicProcessingTraces.SeismicVolumeB,IrapBinaryID
27,npequinor-dev:work-product-component--GenericRepresentation:3d445885b3334f9080ad2d9cab014a81,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_21sp-19auM_Quadr_0535_rms,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Masked,AttributeOfDifference,4D,4D_JS_FulRes_21sp-19auM_Quadr_0535_rms,TimeshiftedDifference,Quadrature,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ21200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ19231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:2d1a4977-2f95-4fc5-845d-7670f95765b3
28,npequinor-dev:work-product-component--GenericRepresentation:417834415d4645c1963561cc766ebb56,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_RI_0535M_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Full,AttributeOfDifference,4D,4D_JS_FulRes_22sp-21sp_DiffTS_0535_maxn,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ22200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ21200DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:b1337b62-4889-4a72-92c6-5f886804d091
29,npequinor-dev:work-product-component--GenericRepresentation:ec624902a23940e1b185a832c05249c1,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_22sp-21sp_DiffTS_0535_maxn,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Full,AttributeOfDifference,4D,4D_JS_FulRes_22sp-21sp_DiffTS_0535_maxn,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ22200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ21200DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:9b0f6354-a3c9-4006-a3a4-e1fbac82ebfe
30,npequinor-dev:work-product-component--GenericRepresentation:d3bda58684b9448680b0908253210161,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_DiffTS_0535P_rms,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Padded,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_DiffTS_0535P_rms,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:002022ac-ba6b-422a-b035-207e011324ce
31,npequinor-dev:work-product-component--GenericRepresentation:a18e5138042d4b658b7045e17e1d42a8,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23sp-22sp_Diff_0535_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Padded,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_Diff_0535P_maxp,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:2946ea13-b61e-40f2-9dcb-c07fa0f13b98
32,npequinor-dev:work-product-component--GenericRepresentation:13ab3e9035f94df9b7e5ba8fd9b6a1da,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_Diff_0535P_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Masked,AttributeOfDifference,4D,4D_JS_FulRes_20au-19auM_dTS_0535_maxp,Extracted,Timestrain,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ19231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:1b8ba342-6384-4356-b6f8-cbdd816ed16a
33,npequinor-dev:work-product-component--GenericRepresentation:fac25aac1aee4ce897fca78e69568c45,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_20au-19auM_dTS_0535_rms,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Padded,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_Quadr_0535P_maxp,TimeshiftedDifference,Quadrature,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:055c397f-7a4f-4148-9b90-9209e149504c
34,npequinor-dev:work-product-component--GenericRepresentation:f79d9ddf51e743be9f6a514584768974,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23sp-22sp_Diff_0535_rms,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Full,AttributeOfDifference,4D,4D_JS_FulRes_22sp-20aut_dTS_0535_maxp,Extracted,Timestrain,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ22200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:af96de9c-f514-48e4-be03-d7e6831db843
35,npequinor-dev:work-product-component--GenericRepresentation:e7d0958e3de749728a3376658a6e9396,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_22sp-20aut_Quadr_0535_maxn,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Full,AttributeOfDifference,4D,4D_JS_FulRes_21sp-20au_Diff_0535_rms,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ21200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:8aa9d81c-6f10-4dd3-a8e7-70a98b9c00d6
36,npequinor-dev:work-product-component--GenericRepresentation:be75f2cba49f41359c89f6ae8b5ef436,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_21sp-20au_Diff_0535_rms,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Full,AttributeOfDifference,4D,4D_JS_FulRes_21sp-20au_Diff_0535_rms,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ21200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:0a26a099-067f-427a-98cc-f81fce83e73f
37,npequinor-dev:work-product-component--GenericRepresentation:6c912bcdaa41440f91428825dc6b8d2f,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_Quadr_0535P_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Padded,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_Quadr_0535P_maxp,TimeshiftedDifference,Quadrature,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:c8ae396c-fba1-4a17-bf72-24a7147e33d1
38,npequinor-dev:work-product-component--GenericRepresentation:3fe58fa9e711497f9b6b65da5c0aa22e,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_22sp-20aut_DiffTS_0535_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Full,AttributeOfDifference,4D,4D_JS_FulRes_23sp-20aut_DiffTS_0535_rms,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:d8885b17-bc93-42f2-acf4-97b789b867fe
39,npequinor-dev:work-product-component--GenericRepresentation:9c57539aeb0941e2a140f8af6f917aa4,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_22sp-20aut_DiffTS_0535_rms,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Full,AttributeOfDifference,4D,4D_JS_FulRes_22sp-20aut_DiffTS_0535_rms,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ22200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:fa4a21c9-05a1-4205-81c1-0e5df87c5a57
40,npequinor-dev:work-product-component--GenericRepresentation:186ba19618bb4dc1be43c2d6a7032d11,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_22sp-21sp_DiffTS_0535_rms,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Full,AttributeOfDifference,4D,4D_JS_FulRes_22sp-21sp_DiffTS_0535_rms,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ22200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ21200DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:f88f4740-4075-438e-92f8-181ed5042765
41,npequinor-dev:work-product-component--GenericRepresentation:2da60eb521284ef099e00cdc50aa0c40,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_RI_0535P_maxn,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Padded,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_RI_0535P_maxn,TimeshiftedDifference,RelativeAcousticImpedance,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:8d2524cd-fba3-441a-872c-1e5a88153705
42,npequinor-dev:work-product-component--GenericRepresentation:78521aa1a53146d6a256994f2fd97011,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_Quadr_0535M_maxn,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Masked,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_Quadr_0535M_maxn,TimeshiftedDifference,Quadrature,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:8ed462eb-427a-4b49-b7b2-2d2ed59b781b
43,npequinor-dev:work-product-component--GenericRepresentation:3ec42a23fd02479296b1d850a2af8011,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_Diff_0535P_maxn,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Padded,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_Diff_0535P_maxn,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:e974dcb0-2737-4ef2-9c81-08217371742a
44,npequinor-dev:work-product-component--GenericRepresentation:86a10cfd552347059239a56652c59ea9,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23sp-20aut_Diff_0535_rms,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Padded,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_Diff_0535P_maxn,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:3423b2d1-ea0b-44c7-89b3-e99e9684d86e
45,npequinor-dev:work-product-component--GenericRepresentation:50dc3a003b33462a914cb1a649b7dcbb,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_dTS_0535P_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Masked,AttributeOfDifference,4D,4D_JS_FulRes_20au-19auM_Quadr_0535_rms,TimeshiftedDifference,Quadrature,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ19231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:e0b6c0a1-b9f5-4ad5-80e6-ffcb426b5e22
46,npequinor-dev:work-product-component--GenericRepresentation:a874703e573444599a911960442837b8,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_21sp-19auM_dTS_0535_rms,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Masked,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_dTS_0535M_rms,Extracted,Timestrain,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:7740ef19-79b7-449f-8585-dec486233386
47,npequinor-dev:work-product-component--GenericRepresentation:7a5b83bde6ac470ba0e256e41ab0510d,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_20au-19auM_dTS_0535_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Masked,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_dTS_0535M_rms,Extracted,Timestrain,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:e6c7bfa9-3643-4e06-9d9c-2ceb719cc433
48,npequinor-dev:work-product-component--GenericRepresentation:ba6749c2064442ae927338475ffa5627,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_21sp-20au_Diff_0535_maxn,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Masked,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_dTS_0535M_rms,Extracted,Timestrain,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:74a7b035-d793-43bc-9d1b-b7a1bc4341f4
49,npequinor-dev:work-product-component--GenericRepresentation:feb76812ebcd4ef3b1fbd1f64f0fe1ad,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_Quadr_0535M_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Masked,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_Quadr_0535M_maxp,TimeshiftedDifference,Quadrature,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:e11a06f8-49f3-425e-9fcc-7f9c5c84ede4
50,npequinor-dev:work-product-component--GenericRepresentation:ce79e67ba2ea4c09b7eff02ea4770772,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_21sp-19auM_Diff_0535_rms,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Masked,AttributeOfDifference,4D,4D_JS_FulRes_21sp-19auM_Diff_0535_rms,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ21200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ19231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:c000b3a7-ef9a-4e1e-9957-73ae43853602
51,npequinor-dev:work-product-component--GenericRepresentation:12d9da818c1c4ac491d47ce6c164ea9e,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_Diff_0535M_rms,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Masked,AttributeOfDifference,4D,4D_JS_FulRes_21sp-19auM_Quadr_0535_rms,TimeshiftedDifference,Quadrature,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ21200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ19231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:571f24b9-11ce-4907-8f6e-c86d09784f4e
52,npequinor-dev:work-product-component--GenericRepresentation:6d65f4bb7bbd495bb5fa320e03a55499,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_TS_0535_IUTU-10,Auto4D,0.3.2,JOHAN SVERDRUP,value,Full,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_TS_0535_IUTU-10,Extracted,Timeshift,AroundHorizon,,,,,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,10.0,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:08f181b3-21b0-4c36-9fca-9ab020fbb4b4
53,npequinor-dev:work-product-component--GenericRepresentation:9e92f96ff29248ef9e4b45ee6388f1eb,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_20au-19auM_Quadr_0535_rms,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Masked,AttributeOfDifference,4D,4D_JS_FulRes_20au-19auM_Quadr_0535_rms,TimeshiftedDifference,Quadrature,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ19231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:4a636698-751a-4de3-8bbe-67687f1f3b1f
54,npequinor-dev:work-product-component--GenericRepresentation:20060321a2fe48038be9dfcac24b2b2a,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23sp-20aut_DiffTS_0535_maxn,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Masked,AttributeOfDifference,4D,4D_JS_FulRes_20au-19auM_Quadr_0535_rms,TimeshiftedDifference,Quadrature,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ19231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:d5079c98-8b96-443e-9d18-ee897f2759d0
55,npequinor-dev:work-product-component--GenericRepresentation:3225fe015bf840979a3090c3c5f958dd,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_22sp-20aut_Diff_0535_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Full,AttributeOfDifference,4D,4D_JS_FulRes_23sp-20aut_Diff_0535_maxn,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:660c01f4-f3db-4811-b7ec-15de06c5410d
