,id,kind,Name,Source,MetadataVersion,AttributeMap.FieldName,AttributeMap.AttributeType,AttributeMap.Coverage,AttributeMap.DifferenceType,AttributeMap.MapType,AttributeMap.Name,AttributeMap.SeismicDifference,AttributeMap.SeismicTraceContent,CalculationWindow.WindowMode,CalculationWindow.TopHorizonName,CalculationWindow.BaseHorizonName,CalculationWindow.TopHorizonOffset,CalculationWindow.BaseHorizonOffset,CalculationWindow.HorizonName,CalculationWindow.HorizonOffsetShallow,CalculationWindow.HorizonOffsetDeep,SeismicProcessingTraces.SeismicVolumeA,SeismicProcessingTraces.SeismicVolumeB,IrapBinaryID,AcquisitionDateA,AcquisitionDateB
49,npequinor-dev:work-product-component--GenericRepresentation:feb76812ebcd4ef3b1fbd1f64f0fe1ad,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_Quadr_0535M_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Masked,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_Quadr_0535M_maxp,TimeshiftedDifference,Quadrature,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:e11a06f8-49f3-425e-9fcc-7f9c5c84ede4,2023-09-20,2020-09-30
52,npequinor-dev:work-product-component--GenericRepresentation:6d65f4bb7bbd495bb5fa320e03a55499,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_TS_0535_IUTU-10,Auto4D,0.3.2,JOHAN SVERDRUP,value,Full,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_TS_0535_IUTU-10,Extracted,Timeshift,AroundHorizon,,,,,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,10.0,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:08f181b3-21b0-4c36-9fca-9ab020fbb4b4,2023-09-20,2020-09-30
56,npequinor-dev:work-product-component--GenericRepresentation:ba8bffe13fd942a6aa44cb5e94553f85,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23sp-20aut_Diff_0535_maxn,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Full,AttributeOfDifference,4D,4D_JS_FulRes_23sp-20aut_Diff_0535_maxn,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:73da664b-1ff0-4d42-b388-68faa9ad1d10,2023-05-16,2020-09-30
57,npequinor-dev:work-product-component--GenericRepresentation:f5a2b345111445e88011af0cf8bdedf2,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_dTS_0535P_rms,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Padded,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_dTS_0535P_rms,Extracted,Timestrain,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:443c0a4d-7bb1-4832-98a0-d8fee95deb6b,2023-09-20,2020-09-30
58,npequinor-dev:work-product-component--GenericRepresentation:81101d858bda4ac1be2dfca27c2d3915,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_dTS_0535M_rms,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Masked,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_dTS_0535M_rms,Extracted,Timestrain,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:4769a038-8cdf-4103-b0db-f07e9c621a89,2023-09-20,2020-09-30
71,npequinor-dev:work-product-component--GenericRepresentation:c6d038802af74c04966655dc44bb7d9a,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_Diff_0535M_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Masked,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_Diff_0535M_maxp,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:899014d4-cb98-4c40-93ae-84b3fc83b4c7,2023-09-20,2020-09-30
72,npequinor-dev:work-product-component--GenericRepresentation:3cceef09b6ac46a296653790cc68e3d4,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23sp-22sp_DiffTS_0535_maxn,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Full,AttributeOfDifference,4D,4D_JS_FulRes_23sp-22sp_DiffTS_0535_maxn,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ22200DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:52174950-cf68-40c1-8933-c6e01731f1c0,2023-05-16,2022-05-15
75,npequinor-dev:work-product-component--GenericRepresentation:cf676c791a8945eaabd4ac1fd38b7ed7,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23sp-21sp_Diff_0535_maxn,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Full,AttributeOfDifference,4D,4D_JS_FulRes_23sp-21sp_Diff_0535_maxn,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ21200DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:4a16d1a6-e109-4fe6-a11d-d36a47744460,2023-05-16,2021-05-17
76,npequinor-dev:work-product-component--GenericRepresentation:2edc71595bed4005843fb7ecc7ad5747,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23sp-20au_TS_0535_IUTU-10ms,Auto4D,0.3.2,JOHAN SVERDRUP,value,Full,AttributeOfDifference,4D,4D_JS_FulRes_23sp-20au_TS_0535_IUTU-10ms,Extracted,Timeshift,AroundHorizon,,,,,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,10.0,,EQ23200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:38822754-78ae-4e1f-a401-f80112935974,2023-05-16,2020-09-30
77,npequinor-dev:work-product-component--GenericRepresentation:7963f3edb4a84f27b2b0bccc7f592905,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_DiffTS_0535M_rms,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Masked,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_DiffTS_0535M_rms,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:a5d35bdd-84f4-462c-bcaa-c5d3d35612d4,2023-09-20,2020-09-30
78,npequinor-dev:work-product-component--GenericRepresentation:1519fb750dbe4a5daf2c0329655fea93,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23sp-21sp_Diff_0535_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Full,AttributeOfDifference,4D,4D_JS_FulRes_23sp-21sp_Diff_0535_maxp,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ21200DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:f804072a-1b25-45f6-b682-747719cab51b,2023-05-16,2021-05-17
82,npequinor-dev:work-product-component--GenericRepresentation:71867f9c56364b9c9c6a9cd7f233bfe0,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_22sp-21sp_Diff_0535_rms,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Full,AttributeOfDifference,4D,4D_JS_FulRes_22sp-21sp_Diff_0535_rms,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ22200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ21200DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:f51be5d4-0a0d-44f6-9312-77a79d3e90a4,2022-05-15,2021-05-17
83,npequinor-dev:work-product-component--GenericRepresentation:998497bcfde14df68cf9645bfca77294,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23sp-22sp_DiffTS_0535_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Full,AttributeOfDifference,4D,4D_JS_FulRes_23sp-22sp_DiffTS_0535_maxp,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ22200DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:5dbf05d8-467a-455e-9c02-8bf46383de79,2023-05-16,2022-05-15
86,npequinor-dev:work-product-component--GenericRepresentation:51aa147fe97b4cf88162c1fc75fb0f7c,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23sp-22sp_DiffTS_0535_rms,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Full,AttributeOfDifference,4D,4D_JS_FulRes_23sp-22sp_DiffTS_0535_rms,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ22200DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:4255a90c-2a87-4a9e-935b-bf6b6628bd0d,2023-05-16,2022-05-15
88,npequinor-dev:work-product-component--GenericRepresentation:f4bb8e920bd94d72a551f12fc24af501,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_22sp-20aut_Diff_0535_maxn,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Full,AttributeOfDifference,4D,4D_JS_FulRes_22sp-20aut_Diff_0535_maxn,RawDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ22200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:acad6208-fb1a-405f-a6d1-46c203a5289c,2022-05-15,2020-09-30
91,npequinor-dev:work-product-component--GenericRepresentation:0b255f0fc59847e7b7b39bacfc5c2c85,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_22sp-21sp_DiffTS_0535_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Full,AttributeOfDifference,4D,4D_JS_FulRes_22sp-21sp_DiffTS_0535_maxp,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ22200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ21200DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:f50b0228-7891-44cf-b451-f9dcb1a33f14,2022-05-15,2021-05-17
92,npequinor-dev:work-product-component--GenericRepresentation:75b7b7c3856043989b440ea3ec9521f5,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23sp-20aut_DiffTS_0535_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Full,AttributeOfDifference,4D,4D_JS_FulRes_23sp-20aut_DiffTS_0535_maxp,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:6c54bf9e-d65a-4968-aa3d-334936c9facf,2023-05-16,2020-09-30
93,npequinor-dev:work-product-component--GenericRepresentation:1937a3e790d54d0cb078656866769282,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_DiffTS_0535M_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Masked,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_DiffTS_0535M_maxp,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:466b6625-8b35-4d29-aa4d-f928d87c691f,2023-09-20,2020-09-30
94,npequinor-dev:work-product-component--GenericRepresentation:f78dbef7e96e4e00977ea288dc3bd02f,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_DiffTS_0535P_maxp,Auto4D,0.3.2,JOHAN SVERDRUP,MaxPositive,Padded,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_DiffTS_0535P_maxp,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:fa9a0db3-559a-4749-bd97-4319cacba518,2023-09-20,2020-09-30
101,npequinor-dev:work-product-component--GenericRepresentation:be3e9f0c5e9a473d8d7e0c1c4a9dae96,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_TS_0535M_IUTU-10,Auto4D,0.3.2,JOHAN SVERDRUP,value,Masked,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_TS_0535M_IUTU-10,Extracted,Timeshift,AroundHorizon,,,,,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,10.0,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:9d9aaa4d-9e2d-45a8-ac0c-1ffca469067e,2023-09-20,2020-09-30
105,npequinor-dev:work-product-component--GenericRepresentation:ca52f582553d40678868d5d362d27ac0,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_Quadr_0535P_rms,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Padded,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_Quadr_0535P_rms,TimeshiftedDifference,Quadrature,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:daf4f227-9111-4edf-b6fe-1dcafdf87be1,2023-09-20,2020-09-30
106,npequinor-dev:work-product-component--GenericRepresentation:091f02aecc2741b1be3fe330c1c6c5f9,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23sp-21sp_DiffTS_0535_maxn,Auto4D,0.3.2,JOHAN SVERDRUP,MaxNegative,Full,AttributeOfDifference,4D,4D_JS_FulRes_23sp-21sp_DiffTS_0535_maxn,TimeshiftedDifference,Amplitude,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23200DZC23A-KPSDM-RAW-FULL-0535-TIME,EQ21200DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:c7c20325-f019-4a97-88e2-10a7aeaa83ef,2023-05-16,2021-05-17
112,npequinor-dev:work-product-component--GenericRepresentation:e001d33baa3e4b469e61564fc24cbd17,osdu:wks:work-product-component--GenericRepresentation:1.1.0,4D_JS_FulRes_23au-20au_RI_0535M_rms,Auto4D,0.3.2,JOHAN SVERDRUP,RMS,Masked,AttributeOfDifference,4D,4D_JS_FulRes_23au-20au_RI_0535M_rms,TimeshiftedDifference,RelativeAcousticImpedance,BetweenHorizons,3D+TAasgard+JS+Z22+Merge_EQ20231_PH2DG3,3D+IUTU+JS+Z22+Merge_EQ20231_PH2DG3,-10.0,10.0,,,,EQ23205DZC23B-KPSDM-RAW-FULL-0535-TIME,EQ20231DZC23A-KPSDM-RAW-FULL-0535-TIME,npequinor-dev:dataset--File.Generic:2a6d7157-0088-4a07-9c0a-cd8b78ba66cd,2023-09-20,2020-09-30
